id,name,Description,Evolves From,Evolves To,type_1,type_2
1,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.,,Ivysaur ,Grass,Poison
2,Ivysaur,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",Bulbasaur ,Venusaur ,Grass,Poison
3,Venusaur,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",Ivysaur ,,Grass,Poison
4,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",,Charmeleon ,Fire,
5,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",Charmander ,Charizard ,Fire,
6,Charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,Charmeleon ,,Fire,Flying
7,Squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",,Wartortle ,Water,
8,Wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",Squirtle ,Blastoise ,Water,
9,Blastoise,A brutal Pokemon with pressurized water jets on its shell. They are used for high speed tackles.,Wartortle ,,Water,
10,Caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,,Metapod ,Bug,
11,Metapod,"This Pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body.",Caterpie ,Butterfree ,Bug,
12,Butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",Metapod ,,Bug,Flying
13,Weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",,Kakuna ,Bug,Poison
14,Kakuna,"Almost incapable of moving, this Pokemon can only harden its shell to protect itself from predators.",Weedle ,Beedrill ,Bug,Poison
15,Beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,Kakuna ,,Bug,Poison
16,Pidgey,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,,Pidgeotto ,Normal,Flying
17,Pidgeotto,"Very protective of its sprawling territorial area, this Pokemon will fiercely peck at any intruder.",Pidgey ,Pidgeot ,Normal,Flying
18,Pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",Pidgeotto ,,Normal,Flying
19,Rattata,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",,Raticate ,Normal,
20,Raticate,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.,Rattata ,,Normal,
21,Spearow,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,,Fearow ,Normal,Flying
22,Fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",Spearow ,,Normal,Flying
23,Ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",,Arbok ,Poison,
24,Arbok,It is rumored that the ferocious warning markings on its belly differ from area to area.,Ekans ,,Poison,
25,Pikachu,"When several of these Pokemon gather, their electricity could build and cause lightning storms.",,Raichu ,Electric,
26,Raichu,Its long tail serves as a ground to protect itself from its own high voltage power.,Pikachu ,,Electric,
27,Sandshrew,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,,Sandslash ,Ground,
28,Sandslash,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,Sandshrew ,,Ground,
29,Nidorana,"Although small, its venomous barbs render this Pokemon dangerous. The female has smaller horns.",,Nidorina ,Poison,
30,Nidorina,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,Nidoran ,Nidoqueen ,Poison,
31,Nidoqueen,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,Nidorina ,,Poison,Ground
32,Nidoran,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",,Nidorino ,Poison,
33,Nidorino,An aggressive Pokemon that is quick to attack. The horn on its head secretes a powerful venom.,Nidoran ,Nidoking ,Poison,
34,Nidoking,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",Nidorino ,,Poison,Ground
35,Clefairy,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,,Clefable ,Fairy,
36,Clefable,A timid fairy Pokemon that is rarely seen. It will run and hide the moment it senses people.,Clefairy ,,Fairy,
37,Vulpix,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",,Ninetales ,Fire,
38,Ninetales,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,Vulpix ,,Fire,
39,Jigglypuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",,Wigglytuff ,Normal,Fairy
40,Wigglytuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",Jigglypuff ,,Normal,Fairy
41,Zubat,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,,Golbat ,Poison,Flying
42,Golbat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",Zubat ,,Poison,Flying
43,Oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",,Gloom ,Grass,Poison
44,Gloom,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,Oddish ,Vileplume ,Grass,Poison
45,Vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",Gloom ,,Grass,Poison
46,Paras,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.,,Parasect ,Bug,Grass
47,Parasect,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,Paras ,,Bug,Grass
